硅指标目录 Sheet Name 修复报告 硅产业链数据_workflow_ai.xlsx
备份: 硅产业链数据_workflow_ai_backup_fix_silicon_catalog_sheets.xlsx
指标行填表: 2354 | 多候选需人工: 2 | 未找到: 0 | 引用行跳过: 0
自检(全部指标行 sheet+col 与数据名称行一致): FAIL x2
错位/变更行数(对比修复前分组): 1182

=== 错位行清单 (row | 原分组 -> 真实sheet | 指标) ===
r1025 | <组:工业硅排产-月> -> 工业硅产量分省份-月 | SMM: 金属硅产量分省份: 甘肃: 月度
r1026 | <组:工业硅排产-月> -> 工业硅产量分省份-月 | SMM: 金属硅产量分省份: 福建: 月度
r1027 | <组:工业硅排产-月> -> 工业硅产量分省份-月 | SMM: 金属硅产量分省份: 贵州: 月度
r1028 | <组:工业硅排产-月> -> 工业硅产量分省份-月 | SMM: 金属硅产量分省份: 辽宁: 月度
r1029 | <组:工业硅排产-月> -> 工业硅产量分省份-月 | SMM: 金属硅产量分省份: 重庆: 月度
r1030 | <组:工业硅排产-月> -> 工业硅产量分省份-月 | SMM: 金属硅产量分省份: 陕西: 月度
r1031 | <组:工业硅排产-月> -> 工业硅产量分省份-月 | SMM: 金属硅产量分省份: 青海: 月度
r1032 | <组:工业硅排产-月> -> 工业硅产量分省份-月 | SMM: 金属硅产量分省份: 黑龙江: 月度
r1106 | <组:工业硅分省份分规格产量-月> -> 工业硅分规格产量-月 | SMM: 金属硅产量分规格: 通氧553#: 月度
r1183 | <组:中国发电量分类型-月> -> 组件产量-月 | SMM: N型组件产量: 月度
r1187 | <组:组件产量预测-月> -> 组件产量-月 | SMM: P型组件产量: 月度
r1188 | <组:组件产量预测-月> -> 组件产量-月 | SMM: 中国企业境内组件产量: 月度
r1189 | <组:组件产量预测-月> -> 组件产量-月 | SMM: 中国企业境外组件产量: 月度
r1192 | <组:高纯石英砂产量-月> -> 组件产量预测-月 | SMM: 光伏组件排产预期值: 月度
r1193 | <组:高纯石英砂产量-月> -> 组件产量-月 | SMM: 印度DCR(含本土制造电池片)组件产量: 月度
r1194 | <组:高纯石英砂产量-月> -> 组件产量-月 | SMM: 境内N型组件产量: 月度
r1195 | <组:高纯石英砂产量-月> -> 组件产量预测-月 | SMM: 境内N型组件排产量: 月度
r1196 | <组:高纯石英砂产量-月> -> 组件产量-月 | SMM: 境内P型组件产量: 月度
r1197 | <组:高纯石英砂产量-月> -> 组件产量预测-月 | SMM: 境内P型组件排产量: 月度
r1198 | <组:高纯石英砂产量-月> -> 组件产量预测-月 | SMM: 境内组件排产量: 月度
r1199 | <组:高纯石英砂产量-月> -> 组件产量-月 | SMM: 境外N型组件产量: 月度
r1200 | <组:高纯石英砂产量-月> -> 组件产量预测-月 | SMM: 境外N型组件排产量: 月度
r1201 | <组:高纯石英砂产量-月> -> 组件产量-月 | SMM: 境外P型组件产量: 月度
r1202 | <组:高纯石英砂产量-月> -> 组件产量预测-月 | SMM: 境外P型组件排产量: 月度
r1203 | <组:高纯石英砂产量-月> -> 组件产量预测-月 | SMM: 境外组件排产量: 月度
r1210 | <组:硅片产量-月> -> 硅片产量预测-月 | SMM: 硅片预测产量: 月度
r1213 | <组:光伏胶膜产量-月> -> 光伏玻璃产量-月 | SMM:光伏玻璃分厚度产量:2.0mm:月度
r1214 | <组:光伏胶膜产量-月> -> 光伏玻璃产量-月 | SMM:光伏玻璃分厚度产量:3.2mm:月度
r1222 | <组:铝合金产量-月> -> 光伏胶膜产量-月 | SMM: 非光伏EVA产量: 月度
r1223 | <组:铝合金产量-月> -> 光伏胶膜产量-月 | SMM: 非光伏EVA硬料产量: 月度
r1224 | <组:铝合金产量-月> -> 光伏胶膜产量-月 | SMM: 非光伏EVA软料产量: 月度
r1230 | <组:工业硅开工-周> -> 有机硅产能+产量+开工-周 | 有机硅开工率
r1231 | <组:工业硅开工-周> -> 工业硅样本产量-周 | SMM: 西北工业硅调研样本开工率: 周度
r1245 | <组:多晶硅开工预测-月> -> 有机硅产量+开工-月 | SMM: 有机硅DMC开工率: 月度
r1279 | <组:组件开工率预测-月> -> 组件开工率-月 | SMM: 境外组件开工率: 月度
r1283 | <组:组件开工率预测-月> -> 硅片开工-月 | SMM: 硅片开工率: 月度
r1285 | <组:组件开工率预测-月> -> 硅片开工预测-月 | SMM: 硅片预测开工率: 月度
r1294 | <组:光伏玻璃开工-月> -> 光伏胶膜开工-月 | SMM: 光伏胶膜开工率: 月度
r1301 | <组:铝合金开工-月> -> 焊带价格-日 | SMM: MBB光伏焊带（直径0.24mm）加工费 - 平均价: 日度
r1302 | <组:铝合金开工-月> -> 焊带价格-日 | SMM: MBB光伏焊带（直径0.3mm）加工费 - 平均价: 日度
r1303 | <组:铝合金开工-月> -> 光伏边框价格-日 | SMM: 光伏边框加工费 - 平均价: 日度
r1305 | <组:铝合金开工-月> -> 多晶硅平衡-月 | SMM: 多晶硅供应量: 月度
r1307 | <组:铝合金开工-月> -> 硅片需求-月 | SMM: 硅片的需求量: 月度
r1327 | <组:中国用电量分类型-月> -> 光伏胶膜需求-月 | SMM: 胶膜折算标准: 月度
r1367 | <组:中国装机容量分类型-月> -> 全球新增光伏装机-月 | SMM:全球光伏新增装机容量:中国-台湾省:月度
r1368 | <组:中国装机容量分类型-月> -> 全球新增光伏装机-月 | SMM:全球光伏新增装机容量:南非地区:月度
r1370 | <组:中国装机容量分类型-月> -> 组件中标数据-周 | SMM: 中标采购容量: 周度
r1382 | <组:组件进出口-月> -> 净出口计算 | 美国海关 工业硅净出口: 月度
r1385 | <组:逆变器进出口-月> -> 美国工业硅进出口-月 | 美国海关: 工业硅进口量: 月度
r1387 | <组:逆变器进出口-月> -> 美国工业硅进出口-月 | 美国海关: 工业硅出口量: 合计: 月度
r1409 | <组:多晶硅全球平衡-月> -> 多晶硅平衡-月 | SMM: 多晶硅供需平衡: 平衡值: 月度
r1410 | <组:多晶硅全球平衡-月> -> 多晶硅平衡-月 | SMM: 多晶硅供需平衡: 出口量: 月度
r1411 | <组:多晶硅全球平衡-月> -> 多晶硅平衡-月 | SMM: 多晶硅供需平衡: 消费量: 月度
r1412 | <组:多晶硅全球平衡-月> -> 多晶硅平衡-月 | SMM: 多晶硅供需平衡: 进口量: 月度
r1414 | <组:多晶硅全球平衡-月> -> 硅片平衡-月 | SMM: 硅片供需平衡: 平衡值: 月度
r1417 | <组:硅片平衡预测-月> -> 硅片平衡-月 | SMM: 硅片供需平衡: 需求量: 月度
r1419 | <组:硅片平衡预测-月> -> 硅片平衡-月 | SMM: 硅片供需平衡: 供应量: 月度
r1422 | <组:硅片平衡预测-月> -> 工业硅平衡-月 | SMM: 工业硅平衡新（按照下游消费算）: 平衡值: 月度
r1425 | <组:工业硅平衡预测-月> -> 工业硅平衡-月 | SMM: 工业硅平衡新（按照下游消费算）: 表观消费量: 月度
r1427 | <组:工业硅平衡预测-月> -> 工业硅平衡-月 | SMM: 工业硅平衡新（按照下游消费算）: 出口量: 月度
r1428 | <组:工业硅平衡预测-月> -> 工业硅平衡-月 | SMM: 工业硅平衡新（按照下游消费算）: 进口量: 月度
